run_id,arm,run_idx,cv_headway,ewt_min,frr,boycott_rate_pct,revenue_variance
Arm_A_0,Arm_A,0,0.3835673648277616,4.8937522066769,0.741929782885846,16.22234455485178,3125368331.6380944
Arm_A_1,Arm_A,1,0.3982410992199207,4.896508763804123,0.7805847954636091,14.773666535743077,2975044732.591288
Arm_A_2,Arm_A,2,0.3695745484867139,4.739238377641876,0.7569182160414591,16.40257247839589,3103433464.6557555
Arm_A_3,Arm_A,3,0.3930489393778935,4.963881457357028,0.7746042146196899,13.911741771410101,3293042042.621835
Arm_A_4,Arm_A,4,0.3947393645902197,4.782488347907984,0.7684736488629776,15.00561415470518,3032443666.3236585
Arm_A_5,Arm_A,5,0.38680274393458924,4.711149615927596,0.7656834748983651,14.513271700973693,2961956634.6598945
Arm_A_6,Arm_A,6,0.3977128281860584,4.753768903811694,0.7524024082525836,14.265376670869097,3346000625.4247293
Arm_A_7,Arm_A,7,0.37980008931984016,4.926107368038801,0.7547028002175079,14.295064957783897,3098211427.747113
Arm_A_8,Arm_A,8,0.38810760379625286,4.948139857467,0.7568641781982343,14.206445958433397,3086201623.17919
Arm_A_9,Arm_A,9,0.39504570645816484,4.798378544704565,0.7676628910442906,14.965080668127044,2969613378.7847285
Arm_A_10,Arm_A,10,0.38609805873076286,4.880692179129228,0.7555682524388061,15.046190417115676,3276284144.4791956
Arm_A_11,Arm_A,11,0.3958680211762916,4.742396145719993,0.7589616282218918,15.520149001042762,3115661744.8054953
Arm_A_12,Arm_A,12,0.38310480914751127,4.802614034104811,0.7602143257341519,15.560031364672003,3082534507.8109584
Arm_A_13,Arm_A,13,0.3838516983575055,4.761305160334321,0.7531397147930656,15.179277066172844,2770123398.6615677
Arm_A_14,Arm_A,14,0.3900770632913551,4.824279258929553,0.7602862382297355,15.45621687285969,3155708204.469994
Arm_A_15,Arm_A,15,0.3884483242419156,4.64442029905909,0.7699940650430798,14.3878405845753,2920575863.3258657
